D,chi,n_devices,is_anchor,gs_num_steps,ms_per_step,peak_gb,E_site,converged,oom,error
2,16,1,False,6,2647.250359877944,0.008856576,-0.49531774742346624,False,False,
2,24,1,False,6,2625.8341493085027,0.01051776,-0.4976830263256847,False,False,
2,32,1,False,6,2629.6127289533615,0.01802496,-0.4983839752296895,False,False,
2,48,1,False,6,3603.242328390479,0.051134976,-0.495317747423358,False,False,
2,64,1,False,6,3624.6446426957846,0.066484224,-0.4883274726208674,False,False,
2,96,1,False,6,4713.651162572205,0.205607936,-0.4977603654257139,False,False,
2,128,1,False,6,5694.807208143175,0.305131264,-0.4969385716228544,False,False,
3,16,1,False,6,23715.880384668708,0.067739904,-0.5465227781538254,False,False,
3,24,1,False,6,33700.39236359298,0.111311872,-0.5426376346545104,False,False,
3,32,1,False,6,49969.46675609797,0.12751232,-0.5518547672737633,False,False,
3,48,1,False,6,54390.08799381554,0.325086208,-0.5431228947359377,False,False,
3,64,1,False,6,,0.536537344,-0.4468386692620579,False,False,
3,96,1,False,6,,,,False,False,timeout after 600s
4,16,1,False,6,27361.18658259511,0.135333888,-0.4820738507307354,False,False,
4,24,1,False,6,48528.89350242913,0.271561984,-0.57845667854636,False,False,
4,32,1,False,6,66074.43696260452,0.476007936,-0.5022691916019603,False,False,
4,48,1,False,6,,,,False,False,timeout after 600s
2,16,4,False,6,14164.836247451603,0.109298432,-0.50277315665011,False,False,
2,24,4,False,6,15035.243915393949,0.109626624,-0.500657970868269,False,False,
2,32,4,False,6,14977.693213149905,0.110037504,-0.5020754296162102,False,False,
2,48,4,False,6,,0.111102976,-0.4977731991189317,False,False,
2,64,4,False,6,17838.01112510264,0.108956416,-0.5036709509488164,False,False,
2,96,4,False,6,,0.130350336,-0.49531774742235085,False,False,
2,128,4,False,6,22975.37040989846,0.246514432,-0.5027085927538155,False,False,
3,16,4,False,6,,0.028521472,,False,False,"IndivisibleError: Sharding NamedSharding(mesh=Mesh('d': 4, axis_types=(Auto,)), spec=P(None, 'd', None), memory_kind=device) implies that array axis 1 is partitioned 4 times, but the dimension size is 9 (full shape: (16, 9, 16), per-dimension tiling factors: [1, 4, 1] should evenly divide the shape)"
4,16,4,False,6,24501.423646695912,0.201889792,-0.4551610341936647,False,False,
4,24,4,False,6,32200.92401560396,0.271553792,-0.4374697351886512,False,False,
4,32,4,False,6,37840.306809172034,0.476010496,-0.17464779179906892,False,False,
4,48,4,False,6,,,,False,False,timeout after 600s
